Run,TSX_Files,TSX_Lines,Skill_Invoked,Skill_Names,Skill_Calls,First_Skill_At_Line
baseline-t1-r1,9,934,false,,0,N/A
baseline-t1-r2,10,577,false,,0,N/A
baseline-t2-r1,10,719,false,,0,N/A
baseline-t2-r2,10,625,false,,0,N/A
combined-t1-r1,9,453,true,design-taste-frontend,1,4
combined-t1-r2,10,494,false,,0,N/A
combined-t2-r1,11,830,true,design-taste-frontend,1,4
combined-t2-r2,2,132,true,design-taste-frontend,1,4
design-doc-t1-r1,12,685,false,,0,N/A
design-doc-t1-r2,2,132,false,,0,N/A
design-doc-t2-r1,8,569,false,,0,N/A
design-doc-t2-r2,12,708,false,,0,N/A
interfaces-t1-r1,12,728,false,,0,N/A
interfaces-t1-r2,9,720,false,,0,N/A
interfaces-t2-r1,8,632,false,,0,N/A
interfaces-t2-r2,8,898,false,,0,N/A
modern-web-t1-r1,10,510,false,,0,N/A
modern-web-t1-r2,11,749,false,,0,N/A
modern-web-t2-r1,7,617,false,,0,N/A
modern-web-t2-r2,8,622,false,,0,N/A
taste-t1-r1,10,488,true,design-taste-frontend,1,5
taste-t1-r2,11,701,true,design-taste-frontend,1,4
taste-t2-r1,5,426,false,,0,N/A
taste-t2-r2,2,132,false,,0,N/A
uiux-t1-r1,10,564,false,,0,N/A
uiux-t1-r2,13,577,false,,0,N/A
uiux-t2-r1,9,717,true,ui-ux-pro-max,1,5
uiux-t2-r2,9,584,true,ui-ux-pro-max,1,4
reference-t1-r1,8,574
reference-t1-r2,8,441
reference-t2-r1,8,604
reference-t2-r2,8,433
