Run,Skill_Invoked,Skill_Names,Skill_Calls,First_Skill_At_Line,Total_Tool_Calls,Total_Lines
baseline-t1-r1,false,,0,N/A,5,245
baseline-t1-r2,false,,0,N/A,7,223
baseline-t2-r1,false,,0,N/A,9,320
baseline-t2-r2,false,,0,N/A,8,187
combined-t1-r1,true,design-taste-frontend,1,4,14,430
combined-t2-r1,true,design-taste-frontend,1,4,7,288
combined-t2-r2,true,design-taste-frontend,1,4,13,533
design-doc-t1-r1,false,,0,N/A,7,360
design-doc-t2-r1,false,,0,N/A,12,170
design-doc-t2-r2,false,,0,N/A,6,427
interfaces-t1-r1,false,,0,N/A,7,180
interfaces-t1-r2,false,,0,N/A,6,188
interfaces-t2-r1,false,,0,N/A,10,158
interfaces-t2-r2,false,,0,N/A,9,229
lazyweb-t1-r1,false,,0,N/A,7,139
modern-web-t1-r1,false,,0,N/A,6,182
modern-web-t2-r1,false,,0,N/A,9,229
modern-web-t2-r2,false,,0,N/A,6,136
taste-t1-r1,true,design-taste-frontend,1,5,10,193
taste-t1-r2,true,design-taste-frontend,1,4,9,241
taste-t2-r2,false,,0,N/A,0,51
uiux-t1-r1,false,,0,N/A,12,225
uiux-t2-r1,true,ui-ux-pro-max,1,5,11,274
uiux-t2-r2,true,ui-ux-pro-max,1,4,6,195
