Run,TSX_Files,TSX_Lines,Skill_Invoked,Skill_Names,Skill_Calls,First_Skill_At_Line
baseline-t1-r1,13,1173,false,,0,N/A
baseline-t1-r2,14,1167,false,,0,N/A
baseline-t2-r1,17,1212,false,,0,N/A
baseline-t2-r2,8,1090,false,,0,N/A
combined-t1-r1,14,983,true,design-taste-frontend,1,5
combined-t1-r2,14,1345,false,,0,N/A
combined-t2-r1,14,1757,true,design-taste-frontend,1,5
combined-t2-r2,13,1255,true,design-taste-frontend,1,5
design-doc-t1-r1,9,864,false,,0,N/A
design-doc-t1-r2,15,1223,false,,0,N/A
design-doc-t2-r1,8,1192,false,,0,N/A
design-doc-t2-r2,10,1171,false,,0,N/A
taste-t1-r1,14,1688,false,,0,N/A
taste-t1-r2,8,1148,true,design-taste-frontend,1,5
taste-t2-r1,12,979,true,design-taste-frontend,1,5
taste-t2-r2,11,1531,true,design-taste-frontend;design-taste-frontend,2,5
uiux-t1-r1,10,1504,false,,0,N/A
uiux-t1-r2,14,949,false,,0,N/A
uiux-t2-r1,9,980,true,ui-ux-pro-max,1,11
uiux-t2-r2,10,1330,true,ui-ux-pro-max,1,5
